<doc id="bv_doc_id__48" document_title="Protokoll der 13. Sitzung des Subkomitees des Verfassungsausschusses vom 31. August 1920" created_not_before="1920-08-31" created_not_after="1920-08-31" creation_year="1920" state_of_correction="created" document_type="Lithographie" text_type="Sitzungsprotokoll" dataset="Sitzungsprotokolle" attrs="word lemma type">
Protckell	Protckell	PROPN	Nom						Sing						
der	der	DET	Gen	Def			Fem		Sing			Art			
15.	15.	ADJ	Dat		Pos		Fem		Sing						
Sitzung	Sitzung	NOUN	Dat				Fem		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Unterzusschusses	Unterzusschuß	NOUN	Gen				Masc		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Verfassungsausschusses	Verfassungsausschuß	NOUN	Gen				Masc		Sing						
vom	von	ADP	Dat				Masc		Sing						
31.	31.	ADJ	Dat		Pos		Masc		Sing						
August	August	NOUN	Dat				Masc		Sing						
1920.	1920.	NUM													
Regim	Regim	PROPN	Nom						Sing						
5	5	NUM													
Unr	Unr	NOUN	Nom						Sing						
20	20	NUM													
aachnittags	aachnittags	ADV													
<g/>
.
Anwesend	Anwesend	ADV			Pos										
<g/>
:
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Otte	Otte	PROPN	Nom				Masc		Sing						
Pauer	Pauer	PROPN	Nom				Masc		Sing						
als	als	ADP													
Vorsitzender	vorsitzend	NOUN	Nom				Masc		Sing						
Simen	Simen	PROPN	Nom				Masc		Sing						
Abram	Abram	PROPN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Josef	Josef	PROPN	Nom				Masc		Sing						
Aigner	Aigner	PROPN	Nom				Masc		Sing						
Heinrich	Heinrich	PROPN	Nom				Masc		Sing						
Clessin	Clessin	PROPN	Nom				Masc		Sing						
Leopold	Leopold	PROPN	Nom				Masc		Sing						
Kunschak	Kunschak	PROPN	Nom				Masc		Sing						
Karl	Karl	PROPN	Nom				Masc		Sing						
Leuthner	Leuthner	PROPN	Nom				Masc		Sing						
<g/>
.
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Ienoz	Ienoz	PROPN	Nom				Masc		Sing						
Seipel	Seipel	PROPN	Nom				Masc		Sing						
Stastssekretär	Stastssekretär	NOUN	Nom				Masc		Sing						
Prof.	Prof.	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Michael	Michael	PROPN	Nom				Masc		Sing						
Meyr	Meyr	PROPN	Nom				Masc		Sing						
Von	von	ADP													
der	der	DET	Dat	Def			Fem		Sing			Art			
Stastskanzlei	Stastskanzlei	NOUN	Dat				Fem		Sing						
<g/>
:
Ministerielret	Ministerielret	NOUN	Nom				Neut		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Geerg	Geerg	PROPN	Nom				Masc		Sing						
Freehlich	Freehlich	PROPN	Nom				Masc		Sing						
Sekticasrat	Sekticasrat	PROPN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Eebert	Eebert	PROPN	Nom				Masc		Sing						
Mannlicher	Mannlicher	ADJ	Nom		Pos		Masc		Sing						
Miaisterialvizesckretär	Miaisterialvizesckretär	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Kurt	Kurt	PROPN	Nom				Masc		Sing						
Frieberger	Frieberger	PROPN	Nom				Masc		Sing						
als	als	ADP													
Schriftführer	Schriftführer	NOUN	Nom				Masc		Sing						
Prof.	Prof.	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Hans	Hans	PROPN	Nom				Masc		Sing						
Kel	Kel	PROPN	Nom				Masc		Sing						
sea	Sea	PROPN	Nom				Masc		Sing						
als	als	ADP													
Experte	Experte	NOUN	Nom				Masc		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Verfassungsausschusses	Verfassungsausschuß	NOUN	Gen				Masc		Sing						
361.2	361.2	NUM													
ser	ser	X													
Versitzende	Versitzende	NOUN	Nom						Plur						
eröffeet	eröffeet	VERB						Ind	Sing	3				Pres	Fin
die	der	DET	Acc	Def			Fem		Sing			Art			
Sitzung	Sitzung	NOUN	Acc				Fem		Sing						
mit	mit	ADP													
einer	ein	DET	Dat	Ind			Fem		Sing			Art			
AnEr	AnEr	NOUN	Dat				Fem		Sing						
die	der	DET	Acc	Def			Fem		Sing			Art			
Regierung	Regierung	NOUN	Acc				Fem		Sing						
bezüglich	bezüglich	ADP													
ausständiger	ausständig	ADJ	Gen		Pos		Fem		Plur						
Ergänzungen	Ergänzung	NOUN	Gen				Fem		Plur						
geArt	geArt	NOUN					Fem		Sing						
.	.	NOUN					Fem		Sing						
52	52	NUM													
und	und	CCONJ													
57	57	NUM													
f.	f.	X													
