<doc id="bv_doc_id__38" document_title="Protokoll der 3. Sitzung des Subkomitees des Verfassungsausschusses vom 20. Juli 1920" created_not_before="1920-07-20" created_not_after="1920-07-20" creation_year="1920" state_of_correction="created" document_type="Lithographie" text_type="Sitzungsprotokoll" dataset="Sitzungsprotokolle" attrs="word lemma type">
<p>
Protokoll	Protokoll	NOUN	Nom				Neut		Sing						
der	der	DET	Gen	Def			Fem		Sing			Art			
dritten	dritter	ADJ	Gen		Pos		Fem		Sing						
Sitzung	Sitzung	NOUN	Gen				Fem		Sing						
des	der	DET	Gen	Def			Neut		Sing			Art			
Subkemitees	Subkemitee	NOUN	Gen				Neut		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Verfassungsausschusses	Verfassungsausschuß	NOUN	Gen				Masc		Sing						
vom	von	ADP	Dat				Masc		Sing						
20.	20.	ADJ	Dat		Pos		Masc		Sing						
Juli	Juli	NOUN	Dat				Masc		Sing						
<g/>
1920.
Beginn	Beginn	NOUN	Nom				Masc		Sing						
6	6	NUM													
Uhr	Uhr	NOUN	Nom				Fem		Sing						
Nachmittag	Nachmittag	NOUN	Nom				Masc		Sing						
<g/>
.
Anwesend	Anwesend	ADV			Pos										
<g/>
:
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Ignez	Ignez	PROPN	Nom				Masc		Sing						
Seipel	Seipel	PROPN	Nom				Masc		Sing						
als	als	ADP													
Versitzender	versitzend	NOUN	Nom				Masc		Sing						
<g/>
.
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Heinrich	Heinrich	PROPN	Nom				Masc		Sing						
Cl	Cl	PROPN	Nom				Masc		Sing						
ess	ess	PROPN	Nom				Masc		Sing						
i	i	X													
a	a	X													
als	als	ADP													
Berichterstatter	Berichterstatter	NOUN	Nom				Masc		Sing						
<g/>
.
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Josef	Josef	PROPN	Nom				Masc		Sing						
Aigner	Aigner	PROPN	Nom				Masc		Sing						
<g/>
.
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Aebert	Aebert	PROPN	Nom				Masc		Sing						
Dennebers	Dennebers	PROPN	Nom				Masc		Sing						
<g/>
.
tr	tr	NOUN	Nom				Masc		Sing						
.	--	NOUN	Nom				Masc		Sing						
Arneld	Arneld	PROPN	Nom				Masc		Sing						
Eisler	Eisler	PROPN	Nom						Sing						
<g/>
.
Methies	Methies	PROPN	Nom				Masc		Sing						
Eldersch	Eldersch	PROPN	Nom				Masc		Sing						
.	.	X													
Jodck	Jodck	PROPN	Nom				Masc		Sing						
Fink	Fink	PROPN	Nom						Sing						
<g/>
.
Stastssekretär	Stastssekretär	NOUN	Nom				Masc		Sing						
Prof.	Prof.	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Michael	Michael	PROPN	Nom				Masc		Sing						
MaGr	MaGr	PROPN	Nom				Masc		Sing						
.	.	PROPN	Nom				Masc		Sing						
Von	von	ADP													
der	der	DET	Dat	Def			Fem		Sing			Art			
Stastskanzlei	Stastskanzlei	NOUN	Dat				Fem		Sing						
<g/>
:
Min	Min	NOUN	Nom						Sing						
.	.	NOUN	Nom				Masc		Sing						
Rat	Rat	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Geerg	Geerg	PROPN	Nom				Masc		Sing						
Frcehlich	Frcehlich	PROPN	Nom				Masc		Sing						
<g/>
.
Sekt	Sekt	NOUN	Nom				Masc		Sing						
<g/>
.
Rat	Rat	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Egbert	Egbert	PROPN	Nom				Masc		Sing						
Wannlicher	Wannlicher	PROPN	Nom				Masc		Sing						
<g/>
.
Oberfinanzret	Oberfinanzret	NOUN	Nom				Neut		Sing						
Lr	Lr	NOUN	Nom				Masc		Sing						
.	.	NOUN	Nom				Masc		Sing						
Karl	Karl	PROPN	Nom				Masc		Sing						
Weser	Weser	PROPN	Nom				Masc		Sing						
<g/>
.
Min	Min	X													
.	.	NOUN	Nom						Sing						
Vizesekretar	Vizesekretar	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Adelf	Adelf	PROPN	Nom				Masc		Sing						
Merkl	Merkl	PROPN	Nom				Masc		Sing						
als	als	ADP													
Schriftführer	Schriftführer	NOUN	Nom				Masc		Sing						
<g/>
.
Prof.	Prof.	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Hans	Hans	PROPN	Nom				Masc		Sing						
kelsen	kelsen	PROPN	Nom				Masc		Sing						
als	als	ADP													
Ezperte	Ezperte	NOUN	Nom				Masc		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Verfassungsaußschusses.-2-	Verfassungsaußschusses.-2-	NOUN	Gen				Masc		Sing						
Der	der	DET	Nom	Def			Masc		Sing			Art			
Vorsitzende	vorsitzend	NOUN	Nom				Masc		Sing						
stellt	stellen	VERB						Ind	Sing	3				Pres	Fin
einleitend	einleitend	ADV			Pos										
fest	fest	ADV													
<g/>
,
daß	daß	SCONJ													
die	der	DET	Nom	Def			Fem		Sing			Art			
Abstimmung	Abstimmung	NOUN	Nom				Fem		Sing						
über	über	ADP													
die	der	DET	Acc	Def			Masc		Plur			Art			
Punkte	Punkt	NOUN	Acc				Masc		Plur						
9.	9.	NUM													
10	10	NUM													
<g/>
,
12	12	NUM													
und	und	CCONJ													
13	13	NUM													
des	der	DET	Gen	Def			Masc		Sing			Art			
Art.10	Art.10	NOUN	Gen				Masc		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Linzer	Linzer	ADJ			Pos										
Entwurfes	Entwurf	NOUN	Gen				Masc		Sing						
noch	noch	ADV													
ausstehe	ausstehen	VERB						Sub	Sing	3				Pres	Fin
<g/>
.
Stastssekreter	Stastssekreter	PROPN	Nom				Masc		Sing						
fr	fr	PROPN	Nom						Sing						
.	.	PROPN	Nom						Sing						
Meyr	Meyr	PROPN	Nom				Masc		Sing						
teilt	teilen	VERB						Ind	Sing	3				Pres	Fin
mit	mit	ADP													
<g/>
,
daß	daß	SCONJ													
in	in	ADP													
der	der	DET	Nom	Def			Masc		Sing			Art			
Staatskanzler	Staatskanzler	NOUN	Nom				Masc		Sing						
ein	ein	DET	Nom	Ind			Masc		Sing			Art			
eigener	eigen	ADJ	Nom		Pos		Masc		Sing						
Artikel	Artikel	NOUN	Nom				Masc		Sing						
über	über	ADP													
die	der	DET	Acc	Def			Fem		Sing			Art			
Gendarmerie	Gendarmerie	NOUN	Acc				Fem		Sing						
ausgearbeitet	ausarbeiten	VERB													Part
wurde	werden	AUX						Ind	Sing	3				Past	Fin
<g/>
,
der	der	PRON	Nom				Masc		Sing			Rel			
an	an	ADP													
die	der	DET	Acc	Def			Fem		Sing			Art			
Stelle	Stelle	NOUN	Acc				Fem		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Pkt.12	Pkt.12	NOUN	Gen				Masc		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Art.10	Art.10	NOUN	Gen				Masc		Sing						
zu	zu	PART													
treten	treten	VERB													Inf
hätte	haben	AUX						Sub	Sing	3				Past	Fin
<g/>
.
Vervielfältigungen	Vervielfältigung	NOUN	Nom				Fem		Plur						
der	der	DET	Gen	Def			Fem		Plur			Art			
Neufermulierungen	Neufermulierung	NOUN	Gen				Fem		Plur						
werden	werden	AUX						Ind	Plur	3				Pres	Fin
verteilt	verteilen	VERB													Part
<g/>
.
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Danneberg	Danneberg	PROPN	Nom				Masc		Sing						
beantragt	beantragen	VERB						Ind	Sing	3				Pres	Fin
<g/>
,
den	der	DET	Acc	Def			Masc		Sing			Art			
Pkt.12	Pkt.12	NOUN	Acc				Masc		Sing						
erst	erst	ADV													
in	in	ADP													
der	der	DET	Dat	Def			Fem		Sing			Art			
nächsten	nächster	ADJ	Dat		Pos		Fem		Sing						
Sitzung	Sitzung	NOUN	Dat				Fem		Sing						
zu	zu	PART													
behandeln	behandeln	VERB													Inf
<g/>
.
<g/>
(
Angenommen	Annehmen	VERB													Part
<g/>
)
<g/>
.
Hierauf	hierauf	ADV													
leitet	leiten	VERB						Ind	Sing	3				Pres	Fin
der	der	DET	Nom	Def			Masc		Sing			Art			
Berichterstatter	Berichterstatter	NOUN	Nom				Masc		Sing						
die	der	DET	Acc	Def			Fem		Sing			Art			
Debatte	Debatte	NOUN	Acc				Fem		Sing						
zu	zu	ADP													
