<doc id="bv_doc_id__52" document_title="Protokoll der 17. Sitzung des Subkomitees des Verfassungsausschusses vom 22. September 1920" created_not_before="1920-09-22" created_not_after="1920-09-22" creation_year="1920" state_of_correction="created" document_type="Lithographie" text_type="Sitzungsprotokoll" dataset="Sitzungsprotokolle" attrs="word lemma type">
4277	4277	NUM													
Prorokoll	Prorokoll	NOUN	Nom				Masc		Sing						
der	der	DET	Gen	Def			Fem		Sing			Art			
17.	17.	ADJ	Gen		Pos		Fem		Sing						
Sitzung	Sitzung	NOUN	Gen				Fem		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Unterausschusses	Unterausschuß	NOUN	Gen				Masc		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Verfasgungsaugschusses	Verfasgungsaugschuß	NOUN	Gen				Masc		Sing						
vom	von	ADP	Dat				Masc		Sing						
22.	22.	ADJ	Dat		Pos		Masc		Sing						
September	September	NOUN	Dat				Masc		Sing						
1530.	1530.	NUM													
Begina	Begina	PROPN	Nom				Fem		Sing						
3	3	NUM													
Uhr	Uhr	NOUN	Acc				Fem		Sing						
Nachmittag	Nachmittag	NOUN	Nom				Masc		Sing						
<g/>
.
aameseni	aameseni	NOUN	Nom				Fem		Sing						
<g/>
:
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Otto	Otto	PROPN	Nom				Masc		Sing						
Bauer	Bauer	PROPN	Nom				Masc		Sing						
als	als	ADP													
Vorsitzender	vorsitzend	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Jodef	Jodef	PROPN	Nom				Masc		Sing						
Aiguer	Aiguer	PROPN	Nom				Masc		Sing						
Or	Or	PROPN	Nom				Masc		Sing						
.	.	PROPN	Nom				Masc		Sing						
Heinrich	Heinrich	PROPN	Nom				Masc		Sing						
6lessln	6lessln	PROPN	Nom				Masc		Sing						
<g/>
.
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Robert	Robert	PROPN	Nom				Masc		Sing						
Danneberg	Danneberg	PROPN	Nom				Masc		Sing						
Jodck	Jodck	PROPN	Nom				Masc		Sing						
Fink	Fink	PROPN	Nom				Masc		Sing						
Leopold	Leopold	PROPN	Nom				Masc		Sing						
Kuxschak	Kuxschak	PROPN	Nom				Masc		Sing						
Professor	Professor	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Ignaz	Ignaz	PROPN	Nom				Masc		Sing						
Geipel	Geipel	PROPN	Nom				Masc		Sing						
Präsldeat	Präsldeat	PROPN	Nom				Masc		Sing						
Karl	Karl	PROPN	Nom				Masc		Sing						
seitStaatssekretär	seitStaatssekretär	NOUN	Dat				Masc		Sing						
Professor	Professor	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Michael	Michael	PROPN	Nom				Masc		Sing						
Wayx	Wayx	PROPN	Nom				Masc		Sing						
Unterstaatssekretär	Unterstaatssekretär	NOUN	Nom				Masc		Sing						
Otto	Otto	PROPN	Nom				Masc		Sing						
Glöckel	Glöckel	PROPN	Nom				Masc		Sing						
Tr	Tr	PROPN	Nom						Sing						
.	.	NOUN	Nom				Masc		Sing						
Wilheim	Wilheim	PROPN	Nom				Neut		Sing						
Elleabogen	Elleabogen	PROPN	Nom						Sing						
Professor	Professor	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Julius	Julius	PROPN	Nom				Masc		Sing						
Tandier	Tandier	PROPN	Nom				Masc		Sing						
Von	von	ADP													
der	der	DET	Dat	Def			Fem		Sing			Art			
Staatskanzlei	Staatskanzlei	NOUN	Dat				Fem		Sing						
<g/>
:
Min	Min	NOUN	Nom				Fem		Sing						
.	.	NOUN	Nom				Fem		Sing						
Rat	Rat	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Georg	Georg	PROPN	Nom				Masc		Sing						
Fr	Fr	PROPN	Nom				Masc		Sing						
oehlich	oehlich	PROPN	Nom				Masc		Sing						
Sekt	Sekt	NOUN	Nom				Masc		Sing						
<g/>
.
Rat	Rat	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Egbert	Egbert	PROPN	Nom				Masc		Sing						
Mannlicher	Mannlicher	PROPN	Nom				Masc		Sing						
Min-Vizesekretär	Min-Vizesekretär	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
AdolI	AdolI	PROPN	Nom				Masc		Sing						
Merkl	Merkl	PROPN	Nom				Masc		Sing						
als	als	ADP													
Schrittfünrer	Schrittfünrer	NOUN	Nom				Masc		Sing						
Win	Win	NOUN	Nom				Masc		Sing						
.	.	NOUN	Nom				Masc		Sing						
Fizesekretär	Fizesekretär	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Kurt	Kurt	PROPN	Nom				Masc		Sing						
Frieberger	Frieberger	PROPN	Nom				Masc		Sing						
Vom	von	ADP	Dat				Neut		Sing						
Staatsamt	Staatsamt	NOUN	Dat				Neut		Sing						
für	für	ADP													
Handel	Handel	NOUN	Acc				Masc		Sing						
und	und	CCONJ													
Gewerbs	Gewerb	NOUN	Acc				Neut		Sing						
<g/>
,
Induatrie	Induatrie	NOUN	Acc				Fem		Sing						
und	und	CCONJ													
Bauten	Bau	NOUN	Dat				Masc		Plur						
<g/>
:
Min	Min	NOUN	Nom						Sing						
.	.	NOUN	Nom				Masc		Sing						
Rat	Rat	NOUN	Nom				Masc		Sing						
Ingenieur	Ingenieur	NOUN	Nom				Masc		Sing						
Emil	Emil	PROPN	Nom				Masc		Sing						
Gaertner	Gaertner	PROPN	Nom				Masc		Sing						
Professor	Professor	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Hans	Hans	PROPN	Nom				Masc		Sing						
Kelsen	Kelsen	PROPN	Nom				Masc		Sing						
als	als	ADP													
Pxperte	Pxperte	NOUN	Nom				Masc		Sing						
des	der	DET	Gen	Def			Masc		Sing			Art			
Verfassungsausschlesss	Verfassungsausschlesss	NOUN	Gen				Masc		Sing						
<g/>
.
-000--142	-000--142	NUM													
Der	der	DET	Nom	Def			Masc		Sing			Art			
Jozsitzende	Jozsitzender	NOUN	Nom				Masc		Sing						
erlangt	erlangen	VERB						Ind	Sing	3				Pres	Fin
die	der	DET	Acc	Def			Fem		Sing			Art			
Zustimmung	Zustimmung	NOUN	Acc				Fem		Sing						
des	der	DET	Gen	Def			Neut		Sing			Art			
Unterausschungea	Unterausschungea	NOUN	Gen				Neut		Sing						
<g/>
,
ver	ver	VERB						Ind	Sing	3				Pres	Fin
Eintritt	Eintritt	NOUN	Nom				Masc		Sing						
in	in	ADP													
die	der	DET	Acc	Def			Fem		Sing			Art			
technische	technisch	ADJ	Acc		Pos		Fem		Sing						
Earung	Earung	NOUN	Acc				Fem		Sing						
der	der	DET	Gen	Def			Masc		Sing			Art			
Gesantentwurfes	Gesantentwurf	NOUN	Gen				Masc		Sing						
eine	ein	DET	Acc	Ind			Fem		Sing			Art			
Bezeinigung	Bezeinigung	NOUN	Acc				Fem		Sing						
der	der	DET	Gen	Def			Fem		Sing			Art			
Kompetenzfrage	Kompetenzfrage	NOUN	Gen				Fem		Sing						
bezüglich	bezüglich	ADP													
der	der	DET	Gen	Def			Fem		Sing			Art			
Volksgesundheit	Volksgesundheit	NOUN	Gen				Fem		Sing						
und	und	CCONJ													
des	der	DET	Gen	Def			Masc		Sing			Art			
Flektrizitktowesene	Flektrizitktowesen	NOUN	Gen				Masc		Sing						
zu	zu	PART													
versuchen	versuchen	VERB													Inf
und	und	CCONJ													
erteilt	erteilen	VERB						Ind	Sing	3				Pres	Fin
zuerst	zuerst	ADV													
dem	der	DET	Dat	Def			Masc		Sing			Art			
Unterstaatesskretär	Unterstaatesskretär	NOUN	Dat				Masc		Sing						
Prof.	Prof.	NOUN	Nom				Masc		Sing						
Dr.	Dr.	NOUN	Nom				Masc		Sing						
Zandler	Zandler	PROPN	Nom				Masc		Sing						
das	der	DET	Acc	Def			Neut		Sing			Art			
Wort	Wort	NOUN	Acc				Neut		Sing						
<g/>
.
Nach	nach	ADP													
seinem	sein	DET	Dat				Masc		Sing		Yes	Prs			
Verschlag	Verschlag	NOUN	Dat				Masc		Sing						
<g/>
,
den	der	PRON	Acc				Masc		Sing			Rel			
er	er	PRON	Nom				Masc		Sing	3		Prs			
ausführlich	ausführlich	ADV			Pos										
begrundet	begrundeen	VERB						Ind	Sing	3				Pres	Fin
<g/>
,
hätte	haben	AUX						Sub	Sing	3				Past	Fin
Art.10	Art.10	NOUN	Nom				Masc		Sing						
<g/>
,
Ekt.22	Ekt.22	NOUN	Nom				Masc		Sing						
zu	zu	PART													
lauten	lauten	VERB													Inf
<g/>
:
Gesundheits-	Gesundheit	X													
und	und	CCONJ													
Vaterinärwegen	Vaterinärweg	NOUN	Dat				Masc		Plur						
<g/>
,
jedoch	jedoch	ADV													
mit	mit	ADP													
Ausnahme	Ausnahme	NOUN	Dat				Fem		Sing						
der	der	DET	Gen	Def			Fem		Plur			Art			
Heil-	Heil	X													
und	und	CCONJ													
Pflegennstalten	Pflegennstalt	NOUN	Gen				Fem		Plur						
und	und	CCONJ													
Amhulatorien	Amhulatorie	NOUN	Gen				Fem		Plur						
<g/>
,
des	der	DET	Gen	Def			Neut		Sing			Art			
Kurorte-	Kurorte	X													
<g/>
,
Leichen-	Leiche	X													
und	und	CCONJ													
Bestattungewesene	Bestattungewesen	NOUN	Gen				Neut		Sing						
sowie	sowie	CCONJ													
des	der	DET	Gen	Def			Masc		Sing			Art			
